제품 이름,베스트 리뷰,별점,무첨가,순함,자극,자극 맥락
일리윤 세라마이드 아토 수딩 젤,여름 자외선에 노출되다보니 피부가 따끔거리고 열감이 있어서 수딩젤 찾던 중에 일리윤을 알게 되어 구입하게 되었습니다. 다른 알로에 수딩젤들은 끈적거리고 두껍게 발려서 금방 물로 씻어 내게 되는데 일리윤은 산뜻하게 발리고 흡수도 빨라서 쾌적하게 사용할 수 있을 것 같아요.,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,여름이라 산뜻한 수딩젤을 사용해 봤어요~ 일단 너무 가볍지 않은 제형에 발림성은 정말 좋았어요~ 향은 무향이구요~ 바르는 즉시 촉촉해 지는걸 느낄수 있었어요~ 한가지 아쉬운 점은 바르고 난뒤 끈적임이 있어요~ 산뜻하게 흡수되면 좋을텐데 좀 아쉬워요~,4,False,False,False,
일리윤 세라마이드 아토 수딩 젤,아이 수딩젤 다 써가는데 마침 화해1위 수딩젤이라고해서 구매했어요 일리윤 바디로션은 믿고 쓰는 제품이라 주저없이 구매했는데 역시 맘에드네요 발림도 좋고 바르고나서 끈적임이 없어서 좋아요 올여름은 이걸로 나려구요~~,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,리뷰가 좋아서 사봤어요~  쓰던 게 남아서 아직 사용전인데 괜찮았음 좋겠네요ㅎㅎ 저렴하게 사서 굿입니다 ㅁ일리 바디로션 만족스럽게 잘 쓰고 있어서 이것도 기대해봅니다ㅋㅋ,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여행와서 잘 사용중입니다. 여행전에 급하게 네이버 당일 배송으로 주문했는데, 당일날 바로 오니까 너무 좋네요. 
더운 나라 여행와서 수딩젤 제형의 수분크림으로 얼굴 몸 다 바를 용도로 샀고 잘 사용중입니다. 
일리 제품들은 얼굴 몸 다 바를 수 있어서 편해요.",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,일리윤을 정말 잘 쓰고 있는데 일리윤 아토 크림은 여름에 쓰기에 조금 무거워서 수분젤을 주문해 봤어요. 화장하기 전에 발라봤는데 수분젤이라 그런지 시간이 지나면 살짝 건조함이 느껴지더라구요. 수분젤팩용으로 사용해 봐야 할 거 같아요!,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,가만 있어도 더운 여름엔 수딩 젤처럼 가벼운 타입이 좋을 것 같아 구매했어요 건조한 부위는 로션 타입도 발라야할 것 같은데 그외에는 이것만 발라도 좋을 것 같아요 몸만 바르다가 스킨 후 얼굴(수부지)에도 발라봤는데 가볍게 수분 채워지는 느낌이라 좋았어요 (다 흡수되기 전에 마무리 로션은 발라야 수분이 안 날아가요~,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,아기 태열이 가라앉을까 싶어 수딩젤 구매했어요 ㅎㅎ 효과는 괜찮은 것 같아요 꾸준히 쓰기 좋아요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여름이라 산뜻하게 바를수있게 수딩젤을 주문했어요
아토크림만 사용하다가 바르니 가볍고 좋아요
선크림 샘플도 주셔서 체험해볼수있어 더 좋습니다",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"초예민아토피 피부인한테 더없이좋네요
알로에수딩젤보다는 좀 크리미하게 발림성이있지만 촉촉하고 수분도잡아주고 냉장고뒀다가 바르니 시원하고 벌겋게달아오른피부진정에도  좋아요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,잘 쓰고있어요. 최근 에스테틱 제품 쓰고 피부 엄청 뒤집어져서 고생했는데 일리윤 쓰고 많이 좋아졌습니다. 순한게 최고예요.,5,False,True,False,
일리윤 세라마이드 아토 수딩 젤,"여름에 바디로션 끈적이지 않는 제품들 중에 보습이 충분하다해서 구매했어요!
여름철 잘 사용할 것 같아요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"쟁여놓고 사용하는 제품이에요.
애들도 요것만 사용하고 
덧 발라도 좋아요.",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여름에 바르기 딱입니다
빨리 흡수 되고 끈적이지 않아서 좋아요~
성분은 말모말모ㅋ",4,True,False,False,
일리윤 세라마이드 아토 수딩 젤,여름이라 기존에 사용하던 로션은 너무 꾸덕하고 무거울 거 같아 구매해봤습니다. 발림성이 좋기는 한데 바르고 나서 좀 끈적거리는게 별로인 거 같아요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,성분도 좋고 발림성도 좋아서 일리윤 너무 잘 씁니다! 이건 모델링팩용으로 사서 냉장고에 보관해두는데 너무 만족해요!,5,True,False,False,
일리윤 세라마이드 아토 수딩 젤,"일리윤은 파라벤이나 향이 첨가되지 않아 안심하고 쓸 수 있어서 구매했어요.
여름되니 애기 태열이 올라와 듬뿍 얹어주니 피부가 좋아지더라고요!!! 
저도 홍조가 있는 편이라 애기부터 저까지 아주 유용하면서 저렴한 편이라 가성비 대박입니당~~",5,True,False,False,
일리윤 세라마이드 아토 수딩 젤,성분이 순하고 용량도 많아서 더운 여름에 쓰기 적합해요 3통째입니다 단종되면 안돼요,5,True,False,False,
일리윤 세라마이드 아토 수딩 젤,지인 추천으로 구매했어요.써보고 좋으면 재구매 하겠습니다.,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"평소에 수딩젤과 아토집중크림을 쓰고있는데 손이 더 자주 가는건 수딩젤이예요 특히 여름엔 수딩젤만 씁니다 네이버 공홈에서는 다른곳에서 하듯 여러개 살수록 싸지는 묶음 상품이 수딩젤은 없어서 아쉬워요  
이번에 수딩젤만 5개 쟁였는데 사은품도 있어서 요긴하게 쓸것같아요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"일리윤 기초제품 모두 쓰고 있어서 수분크림 대용으로 수딩젤 사보았어요 사용감은 시원한데, 금방 증발되서 오일 같은거 한방울 섞어 사용하면 좋을 것 같아요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"화장도 안하는 고등딸아이 매일 바르는 기초템으로 사줬어요
끈적인다고 하긴하던데 직접 사용해본거라 아니라 잘 모르겠네요",4,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"부드럽고 자극없이 잘 발려요!!
어떤걸 사야하나 고민 많이했는데 일리윤 사길 잘한것같아요~!!",5,False,False,True,자극없음(긍정)
일리윤 세라마이드 아토 수딩 젤,아이가 열이 많아 여름만 되면 땀띠가 올라와서 수딩젤을 바르고있어요~시원하게 해서 바르니 땀띠가 금방 들어가고 좋아요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,부드럽고 촉촉해요! 아기땀띠 났을때 최고에요!,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,자극없고 끈적임없어서 여름에 바르기 좋아요.,5,False,False,True,자극없음(긍정)
일리윤 세라마이드 아토 수딩 젤,발림성이 좋고 량감이 있어서 여름에 사용하기좋아요.,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여름바디용으로 구매했어요
산뜻해서 끈적임은 덜하고 좋네요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,피부 탔을 때 바르면 좋아요.  몸에도 바르고 얼굴에도 발라요.,5,False,False,False,
