제품 이름,베스트 리뷰,별점,무첨가,순함,자극,자극 맥락
일리윤 저자극 이지워시 선크림,"무기자차 선크림 찾다가 일리윤에 있어서 구매하게 되었어요.
여행할때도 필요하니 휴대성 있게 컴팩트한 크기였으면 했는데 원래 쓰던 타사 제품보다는 약간 크지만 만족합니다! 
무기차자라고 해서 백탁이나 밀림 등을 걱정했는데 발라보니 전혀요. 발림성도 유기자차나 혼합자차에 못지않게 좋고 백탁도 크게 느끼지 못했습니다. 이 선크림으로 정착합니다~",5,False,False,False,
일리윤 저자극 이지워시 선크림,"백탁이 심하대서 걱정했는데 생각보다 심하진
않습니다. 일부의 파데프리 선크림은 오후되면 피지가 올라와서 지저분해져서 일부러 흰색(무색) 선크림을 구매해본건데 그런 부분에서는 괜찮네요.",5,False,False,False,
일리윤 저자극 이지워시 선크림,촉촉하고 백탁 현상이 없어 좋아요 아이들 등원시 매일 빌라주고 있어요 가볍게 바르고 나면 얼굴이 광택도 돌아 피부 결도 좋아 보여요,5,False,False,False,
일리윤 저자극 이지워시 선크림,"이번이 두번째인데 예전보다 유분기가
많은거 같아요 백탁도 심하구 근데 또 잘지워지는거 같아 다음구매는 망설여집니다",4,False,False,False,
일리윤 저자극 이지워시 선크림,선크림 눈시림만 없으면 좋겠는데 딱인거같네요 무기자차에 순한거 같아요,5,False,True,False,
일리윤 저자극 이지워시 선크림,"같은 라인 유기자차를 정말 만족하며 썼었는데 딱 하나 안 맞는게 있어서 재구매는 안 했어요.바로 눈시림. 쓸수록 눈시림이 심해서 결국 한통 다 쓰고 다른 회사 유기자차 샀는데 무기자차가 있더라고요.그래서 구매했습니다. 눈시림 없으면 계속 쓰고 싶을 정도로 다른 부분이 만족스러웠던 유기자차라 무기자차도 기대되네요. 제발 눈시림 없기를...
그리고 토욜 주문해서 일욜에 받았어요. 당장 내일 써볼 수 있어서 좋아요. 한국 배송시템 최고",5,False,False,False,
일리윤 저자극 이지워시 선크림,아이가 얼굴에 벅벅 바르는데도 눈이 시리다던지 따갑다던지 그런 불편함을 얘기하지않네요 저도 물놀이할일있을때 같이 바르는데 백탁 심하지않고 잘 발려요~,5,False,False,False,
일리윤 저자극 이지워시 선크림,"요즘 피부 상태가 좀 바뀌었는지 선크림을 바르면 얼굴에 뭔가가 많이 나서 바꾸게 되었습니다. 무기자차가 자극이 덜 하다는 걸 알지만, 그래도 신중을 더해서 일리윤으로 구매하게 되었습니다. 더 안전하지 않을까 해서요. 얼굴에 자극감이 덜 했으면 좋겠습니다.",4,False,False,True,자극없음(긍정)
일리윤 저자극 이지워시 선크림,아기때부터 여러가지 선크림을 발라줬는데 무기자차는 특유의 건조함과 발림성때문에 유기자차 발라주다가 안좋다는 이야기때문에 무기자차를 찾다가 선택하게되었는데 무기자차이지만 뻑뻑한 발림성도 아니고 잘 발리고 눈도 하나도 안시렵다고 해서 만족합니다. 재구매 해야겠어요,5,False,False,False,
일리윤 저자극 이지워시 선크림,"제 피부가 문제가 많은것 같아요
트러블이 생겨서 잠깐 중단 했지만 발림성이나 건조함은 없어요",3,False,False,False,
일리윤 저자극 이지워시 선크림,"새상품 겉면에 뭐가 묻어있긴 했지만 
유통기간 2년 정도 남은 걸로 배송 잘 왔습니다",5,False,False,False,
